date,home,away
2026-08-28,Crystal Palace,Man City
2026-08-29,Liverpool,Nott'm Forest
2026-08-29,Bournemouth,Everton
2026-08-29,Coventry,Hull
2026-08-29,Tottenham,Newcastle
2026-08-30,Sunderland,Fulham
2026-08-30,Leeds,Brentford
2026-08-30,Chelsea,Brighton
2026-08-30,Man United,Ipswich
2026-08-31,Aston Villa,Arsenal
2026-09-04,Ipswich,Liverpool
2026-09-05,Newcastle,Bournemouth
2026-09-05,Brentford,Sunderland
2026-09-05,Brighton,Leeds
2026-09-05,Fulham,Crystal Palace
2026-09-05,Man City,Coventry
2026-09-05,Nott'm Forest,Tottenham
2026-09-05,Hull,Aston Villa
2026-09-06,Everton,Man United
2026-09-06,Arsenal,Chelsea
2026-09-12,Bournemouth,Brentford
2026-09-12,Aston Villa,Nott'm Forest
2026-09-12,Chelsea,Hull
2026-09-12,Crystal Palace,Ipswich
2026-09-12,Liverpool,Fulham
2026-09-12,Tottenham,Everton
2026-09-12,Sunderland,Arsenal
2026-09-13,Coventry,Brighton
2026-09-13,Man United,Man City
2026-09-14,Leeds,Newcastle
