date,home,away
2026-07-25,Santos,Chapecoense-SC
2026-07-25,Athletico-PR,Internacional
2026-07-25,Vasco,Mirassol
2026-07-26,Cruzeiro,Botafogo RJ
2026-07-26,Bahia,Corinthians
2026-07-26,Flamengo RJ,Sao Paulo
2026-07-26,Bragantino,Coritiba
2026-07-26,Gremio,Fluminense
2026-07-26,Palmeiras,Atletico-MG
2026-07-26,Remo,Vitoria
2026-08-08,Gremio,Sao Paulo
2026-08-08,Remo,Atletico-MG
2026-08-08,Coritiba,Chapecoense-SC
2026-08-08,Botafogo RJ,Fluminense
2026-08-09,Cruzeiro,Mirassol
2026-08-09,Palmeiras,Internacional
2026-08-09,Bahia,Vasco
2026-08-09,Santos,Athletico-PR
2026-08-09,Bragantino,Corinthians
2026-08-09,Flamengo RJ,Vitoria
2026-08-15,Fluminense,Palmeiras
2026-08-15,Atletico-MG,Gremio
2026-08-15,Athletico-PR,Bragantino
2026-08-15,Sao Paulo,Coritiba
2026-08-16,Chapecoense-SC,Bahia
2026-08-16,Vasco,Santos
2026-08-16,Mirassol,Flamengo RJ
2026-08-16,Vitoria,Botafogo RJ
2026-08-16,Corinthians,Cruzeiro
2026-08-17,Internacional,Remo
